route_id,timestamp,speed_kmh,vehicle_volume,travel_time_min
A->B,2025-04-06 07:33:00,16.3,142,36.8
A->C,2025-04-06 07:33:00,19.7,150,30.5
B->D,2025-04-06 07:34:00,17.4,156,34.5
A->C,2025-04-06 07:34:00,22.3,138,26.9
A->C,2025-04-06 07:35:00,33.8,154,17.8
B->D,2025-04-06 07:35:00,15.6,165,38.5
B->D,2025-04-06 07:35:00,28.8,124,20.8
A->C,2025-04-06 07:36:00,22.5,159,26.6
A->C,2025-04-06 07:36:00,29.5,121,20.3
A->B,2025-04-06 07:36:00,29.1,126,20.6
C->D,2025-04-06 07:36:00,23.1,156,26.0
C->D,2025-04-06 07:37:00,31.8,171,18.9
B->C,2025-04-06 07:39:00,25.7,147,23.3
B->D,2025-04-06 07:39:00,26.7,141,22.4
A->B,2025-04-06 07:39:00,20.6,165,29.1
C->D,2025-04-06 07:39:00,21.9,148,27.3
B->C,2025-04-06 07:41:00,34.0,135,17.6
B->D,2025-04-06 07:43:00,28.3,142,21.2
A->B,2025-04-06 07:43:00,19.4,133,30.9
B->D,2025-04-06 07:43:00,33.7,139,17.8
C->D,2025-04-06 07:44:00,33.4,141,18.0
B->D,2025-04-06 07:44:00,18.6,141,32.3
C->D,2025-04-06 07:45:00,34.1,169,17.6
A->B,2025-04-06 07:45:00,34.4,132,17.4
B->C,2025-04-06 07:45:00,20.5,136,29.3
A->B,2025-04-06 07:46:00,22.0,162,27.3
B->C,2025-04-06 07:48:00,15.8,127,38.1
A->C,2025-04-06 07:48:00,16.6,183,36.2
C->D,2025-04-06 07:50:00,27.4,139,21.9
C->D,2025-04-06 07:51:00,15.4,129,39.0
A->C,2025-04-06 07:51:00,21.7,144,27.7
A->C,2025-04-06 07:52:00,20.7,171,29.0
C->D,2025-04-06 07:53:00,27.2,126,22.0
B->C,2025-04-06 07:53:00,30.2,162,19.9
C->D,2025-04-06 07:53:00,24.9,145,24.1
C->D,2025-04-06 07:53:00,28.5,150,21.1
C->D,2025-04-06 07:53:00,22.8,109,26.3
A->B,2025-04-06 07:54:00,26.2,160,22.9
B->C,2025-04-06 07:55:00,23.5,142,25.6
B->D,2025-04-06 07:55:00,20.1,141,29.8
B->C,2025-04-06 07:55:00,30.2,145,19.8
B->D,2025-04-06 07:56:00,20.1,196,29.8
A->B,2025-04-06 07:58:00,29.9,154,20.1
C->D,2025-04-06 07:58:00,31.4,142,19.1
B->C,2025-04-06 07:58:00,22.8,129,26.3
B->C,2025-04-06 07:59:00,21.8,186,27.5
B->C,2025-04-06 07:59:00,17.7,154,33.8
B->D,2025-04-06 07:59:00,17.9,178,33.5
B->C,2025-04-06 08:00:00,33.5,129,17.9
B->C,2025-04-06 08:00:00,22.3,157,27.0
A->C,2025-04-06 08:01:00,15.5,171,38.7
A->C,2025-04-06 08:02:00,18.6,144,32.3
C->D,2025-04-06 08:02:00,21.6,112,27.8
A->B,2025-04-06 08:02:00,19.7,151,30.5
A->B,2025-04-06 08:03:00,35.0,123,17.2
C->D,2025-04-06 08:03:00,29.0,126,20.7
A->C,2025-04-06 08:03:00,19.4,166,30.9
B->D,2025-04-06 08:03:00,22.7,148,26.4
A->B,2025-04-06 08:03:00,19.8,150,30.2
A->C,2025-04-06 08:04:00,28.4,174,21.1
C->D,2025-04-06 08:04:00,31.0,156,19.3
C->D,2025-04-06 08:05:00,29.8,178,20.1
A->B,2025-04-06 08:05:00,17.6,142,34.1
A->B,2025-04-06 08:05:00,34.1,162,17.6
B->C,2025-04-06 08:05:00,18.3,148,32.8
B->C,2025-04-06 08:06:00,17.1,145,35.0
C->D,2025-04-06 08:06:00,30.0,186,20.0
A->C,2025-04-06 08:07:00,18.4,171,32.5
B->C,2025-04-06 08:08:00,21.7,153,27.6
B->C,2025-04-06 08:08:00,22.8,168,26.3
C->D,2025-04-06 08:09:00,20.9,111,28.7
A->B,2025-04-06 08:09:00,18.3,133,32.8
C->D,2025-04-06 08:10:00,16.8,159,35.7
A->B,2025-04-06 08:10:00,34.6,169,17.3
B->C,2025-04-06 08:11:00,21.0,166,28.6
C->D,2025-04-06 08:11:00,17.1,166,35.1
A->C,2025-04-06 08:11:00,28.9,160,20.7
A->B,2025-04-06 08:11:00,24.1,133,24.8
A->C,2025-04-06 08:11:00,28.3,150,21.2
A->B,2025-04-06 08:11:00,33.0,133,18.2
A->B,2025-04-06 08:11:00,20.0,148,30.0
A->B,2025-04-06 08:11:00,24.4,147,24.6
B->D,2025-04-06 08:12:00,25.1,142,23.9
A->B,2025-04-06 08:13:00,18.3,148,32.7
C->D,2025-04-06 08:13:00,17.8,178,33.7
A->B,2025-04-06 08:14:00,33.6,115,17.8
B->D,2025-04-06 08:16:00,18.6,148,32.3
B->D,2025-04-06 08:17:00,16.2,145,37.0
A->C,2025-04-06 08:17:00,28.9,136,20.8
C->D,2025-04-06 08:20:00,25.6,162,23.4
B->C,2025-04-06 08:20:00,16.3,114,36.8
A->B,2025-04-06 08:20:00,19.6,154,30.6
A->C,2025-04-06 08:20:00,19.7,159,30.5
C->D,2025-04-06 08:20:00,33.0,130,18.2
A->C,2025-04-06 08:20:00,17.3,117,34.7
A->B,2025-04-06 08:22:00,28.9,162,20.8
B->D,2025-04-06 08:22:00,29.7,145,20.2
B->C,2025-04-06 08:22:00,27.8,142,21.6
A->B,2025-04-06 08:25:00,18.9,162,31.7
C->D,2025-04-06 08:25:00,30.4,129,19.7
B->D,2025-04-06 08:25:00,30.4,138,19.7
A->C,2025-04-06 08:25:00,16.8,163,35.8
B->C,2025-04-06 08:26:00,34.4,138,17.5
A->B,2025-04-06 08:27:00,28.3,174,21.2
C->D,2025-04-06 08:27:00,26.7,157,22.5
C->D,2025-04-06 08:28:00,22.2,175,27.0
C->D,2025-04-06 08:28:00,30.0,171,20.0
C->D,2025-04-06 08:29:00,30.6,142,19.6
B->C,2025-04-06 08:29:00,28.8,144,20.8
C->D,2025-04-06 08:30:00,29.4,165,20.4
A->C,2025-04-06 08:30:00,29.4,126,20.4
A->C,2025-04-06 08:30:00,34.1,154,17.6
C->D,2025-04-06 08:30:00,20.9,133,28.7
B->D,2025-04-06 08:31:00,19.8,150,30.3
A->C,2025-04-06 08:31:00,31.7,132,18.9
C->D,2025-04-06 08:31:00,19.3,154,31.1
A->C,2025-04-06 08:31:00,31.9,202,18.8
A->B,2025-04-06 08:32:00,20.0,163,30.0
C->D,2025-04-06 08:32:00,18.7,150,32.1
C->D,2025-04-06 08:32:00,17.8,145,33.7
A->B,2025-04-06 08:33:00,29.4,153,20.4
A->B,2025-04-06 08:33:00,21.9,153,27.4
A->B,2025-04-06 08:33:00,19.1,172,31.4
A->C,2025-04-06 08:34:00,32.6,169,18.4
A->C,2025-04-06 08:34:00,23.8,180,25.2
C->D,2025-04-06 08:35:00,27.4,172,21.9
A->B,2025-04-06 08:35:00,34.5,150,17.4
A->B,2025-04-06 08:35:00,30.7,129,19.5
A->B,2025-04-06 08:35:00,29.3,135,20.5
A->B,2025-04-06 08:35:00,24.5,148,24.4
B->C,2025-04-06 08:36:00,19.2,141,31.3
A->B,2025-04-06 08:36:00,19.5,151,30.8
B->C,2025-04-06 08:37:00,28.8,159,20.8
A->C,2025-04-06 08:38:00,21.3,157,28.1
C->D,2025-04-06 08:38:00,22.8,166,26.4
A->C,2025-04-06 08:38:00,31.1,153,19.3
B->D,2025-04-06 08:38:00,31.2,130,19.3
B->D,2025-04-06 08:39:00,20.2,141,29.7
B->D,2025-04-06 08:39:00,23.2,174,25.8
B->C,2025-04-06 08:39:00,17.8,177,33.6
C->D,2025-04-06 08:40:00,22.5,157,26.7
A->B,2025-04-06 08:43:00,29.5,160,20.3
B->D,2025-04-06 08:43:00,28.2,145,21.3
A->C,2025-04-06 08:43:00,24.0,141,25.0
A->C,2025-04-06 08:44:00,34.2,138,17.5
B->C,2025-04-06 08:44:00,18.1,157,33.1
B->C,2025-04-06 08:44:00,28.0,136,21.4
A->B,2025-04-06 08:44:00,29.6,160,20.3
B->D,2025-04-06 08:44:00,21.6,148,27.8
B->D,2025-04-06 08:45:00,32.3,169,18.6
A->C,2025-04-06 08:45:00,22.7,157,26.4
A->C,2025-04-06 08:45:00,23.5,138,25.5
B->D,2025-04-06 08:46:00,32.7,172,18.4
B->C,2025-04-06 08:46:00,18.9,130,31.8
C->D,2025-04-06 08:46:00,24.1,150,24.9
B->C,2025-04-06 08:47:00,17.9,160,33.6
C->D,2025-04-06 08:48:00,16.1,150,37.2
B->D,2025-04-06 08:48:00,22.1,144,27.2
A->B,2025-04-06 08:48:00,15.3,147,39.3
A->C,2025-04-06 08:48:00,31.5,153,19.1
B->C,2025-04-06 08:48:00,33.3,141,18.0
B->D,2025-04-06 08:50:00,16.9,145,35.5
A->C,2025-04-06 08:53:00,30.6,181,19.6
B->C,2025-04-06 08:53:00,24.7,129,24.3
B->C,2025-04-06 08:53:00,15.2,153,39.4
B->D,2025-04-06 08:53:00,29.1,150,20.6
A->C,2025-04-06 08:53:00,29.0,130,20.7
B->D,2025-04-06 08:53:00,30.4,199,19.8
A->C,2025-04-06 08:54:00,24.9,135,24.1
C->D,2025-04-06 08:54:00,34.5,154,17.4
B->C,2025-04-06 08:54:00,18.5,168,32.4
A->C,2025-04-06 08:55:00,31.9,145,18.8
B->D,2025-04-06 08:55:00,28.9,184,20.8
B->C,2025-04-06 08:56:00,28.3,135,21.2
C->D,2025-04-06 08:56:00,33.2,151,18.0
A->C,2025-04-06 08:56:00,16.9,138,35.5
B->C,2025-04-06 08:56:00,34.9,165,17.2
A->B,2025-04-06 08:57:00,31.0,133,19.4
B->D,2025-04-06 08:58:00,32.4,162,18.5
A->C,2025-04-06 08:58:00,30.8,144,19.5
A->C,2025-04-06 08:59:00,26.4,166,22.8
C->D,2025-04-06 08:59:00,15.4,141,39.1
A->B,2025-04-06 08:59:00,25.0,145,24.0
A->B,2025-04-06 08:59:00,33.7,159,17.8
A->B,2025-04-06 08:59:00,34.5,147,17.4
A->B,2025-04-06 09:00:00,15.2,162,39.6
C->D,2025-04-06 09:01:00,22.2,151,27.0
C->D,2025-04-06 09:01:00,23.3,147,25.8
B->C,2025-04-06 09:02:00,17.6,154,34.0
B->D,2025-04-06 09:02:00,17.9,136,33.5
A->C,2025-04-06 09:02:00,19.6,154,30.6
A->B,2025-04-06 09:02:00,17.1,144,35.1
B->D,2025-04-06 09:03:00,16.2,145,37.0
A->C,2025-04-06 09:03:00,25.8,169,23.2
B->D,2025-04-06 09:03:00,27.1,159,22.1
A->B,2025-04-06 09:03:00,26.2,141,22.9
A->B,2025-04-06 09:03:00,25.0,141,24.0
A->C,2025-04-06 09:04:00,19.0,133,31.7
A->B,2025-04-06 09:05:00,20.9,139,28.7
B->D,2025-04-06 09:05:00,22.2,144,27.0
B->C,2025-04-06 09:06:00,27.6,127,21.7
C->D,2025-04-06 09:06:00,15.0,183,39.9
A->B,2025-04-06 09:08:00,22.6,151,26.6
B->C,2025-04-06 09:08:00,17.0,168,35.2
A->B,2025-04-06 09:09:00,33.5,151,17.9
A->B,2025-04-06 09:10:00,17.0,163,35.3
